time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
258048,21,787,327,0.2,-0.1721595538003991,0.0007671171,937.2498779296875,0.7246607542037964,2796.037224642436,-0.0011643438367173076,0.0003,0.010115559895833333,200,,
270336,22,790,341,0.2,-0.15594243862045307,0.00079003285,1033.5162353515625,0.776863694190979,2785.2732520103455,-0.0013499084450207496,0.0003,0.0087158203125,210,,
282624,23,792,356,0.2,-0.15159268848753224,0.0036007182,605.001953125,0.7478045225143433,2323.2156761487327,-0.0018700263758849663,0.0003,0.0160888671875,220,,
294912,24,796,370,0.2,-0.1425690273133417,0.0009901848,782.7212524414062,0.8062880635261536,1767.1876818656922,-0.001294365267191703,0.0003,0.0133544921875,230,,
300000,,,,0.2,-0.13090500246422987,0.0005808301,410.0687255859375,0.8678923845291138,1658.843736298879,-0.000924317638661402,0.0003,0.009309895833333333,240,8703.2,71534.25871067047
307200,25,777,395,,,,,,,,,,,,
319488,26,779,409,0.2,-0.1783962376920196,0.022276685,565.0339965820312,0.9036391973495483,1655.5355637391408,-0.00295280242038037,0.0003,0.034138997395833336,250,,
331776,27,782,424,0.2,-0.24552355009752017,0.0019341424,854.3946533203125,0.8796955347061157,1844.1554169972737,-0.002945742277855364,0.0003,0.030712890625,260,,
344064,28,784,438,0.2,-0.21065361122600734,0.0054001496,379.5338439941406,0.90555340051651,1366.7039262612661,-0.0030828790288069284,0.0003,0.042521158854166664,270,,
356352,29,785,453,0.2,-0.1894771007859769,0.0012742855,314.0222473144531,0.9368115663528442,1056.1669409275055,-0.0026945804022640613,0.0003,0.019938151041666668,280,,
360000,,,,0.2,-0.17360494756915917,0.0018743802,382.3813171386719,0.9518030285835266,958.0216712792715,-0.0020087777525380564,0.0003,0.018196614583333333,290,8760.0,72363.45566835403
368640,30,773,476,,,,,,,,,,,,
380928,31,776,490,0.2,-0.16347285552959268,0.0012002307,353.1520690917969,0.943724513053894,1239.3073291063308,-0.001874323577794712,0.0003,0.017138671875,300,,
393216,32,778,505,0.2,-0.14305986166000367,0.0024210184,277.3539123535156,0.9517886638641357,694.1271647135417,-0.0013980889959687678,0.0003,0.029606119791666666,310,,
405504,33,780,519,0.2,-0.1239268806297332,0.0014187436,143.40672302246094,0.9723309874534607,598.665758228302,-0.0012871286688702335,0.0003,0.020743815104166667,320,,
417792,34,782,533,0.2,-0.11211940441280603,0.0007492329,73.84607696533203,0.9825379848480225,474.0199296315511,-0.001423407056427095,0.0003,0.01318359375,330,,
420000,,,,0.2,-0.10216869886304873,0.0012395496,135.79327392578125,0.9838505387306213,334.68124899466835,-0.0015213219742387688,0.0003,0.015511067708333333,340,8760.0,72798.8378570795
430080,35,771,557,,,,,,,,,,,,
442368,36,773,572,0.2,-0.091448255306265,0.0024748417,456.45867919921875,0.9650152921676636,852.032091442744,-0.0008269549703982193,0.0003,0.015388997395833333,350,,
454656,37,774,587,0.2,-0.08549582334041285,0.0016739741,234.32359313964844,0.9819284081459045,464.88121563593546,-0.0004631818146056806,0.0003,0.012784830729166667,360,,
466944,38,771,605,0.2,-0.07566238766885362,0.00063718983,208.9357452392578,0.9890692234039307,353.9678399125735,-0.0006488845370768104,0.0003,0.008797200520833333,370,,
479232,39,769,622,0.2,-0.06903072886246567,0.00052803435,61.466983795166016,0.9893629550933838,224.05106303691863,-0.0006089816403497631,0.0003,0.009895833333333333,380,,
480000,,,,0.2,-0.06458978803129867,0.0007240249,252.67044067382812,0.9819183349609375,584.3037339448929,-0.00019467351460965195,0.0003,0.006673177083333333,390,8760.0,73158.69352352619
491520,40,755,650,,,,,,,,,,,,
503808,41,757,664,0.2,-0.058089664144790734,0.0032318744,89.15962219238281,0.9845202565193176,328.19365178346635,-0.001231713537951388,0.0003,0.020670572916666668,400,,
516096,42,759,679,0.2,-0.05123750180355273,0.0010577278,68.10511779785156,0.9945322871208191,180.2842941045761,-7.900276784008989e-05,0.0003,0.0094970703125,410,,
528384,43,760,694,0.2,-0.047050459467573094,0.00083025655,36.521636962890625,0.9941642880439758,149.47591592470806,-5.2392049595558396e-05,0.0003,0.012190755208333333,420,,
540000,,,,0.2,-0.052318910058723606,0.0005603047,106.05928802490234,0.9899958968162537,331.7895054996014,-0.0002779372252310471,0.0003,0.00615234375,430,8760.0,75350.80263962745
540672,44,751,719,,,,,,,,,,,,
552960,45,753,734,0.2,-0.04757498540032733,0.0013840318,152.82635498046875,0.9910227060317993,246.9397662738959,0.0006139450109913014,0.0003,0.013981119791666666,440,,
565248,46,754,748,0.2,-0.04334051421537879,0.0010199868,69.63532257080078,0.996740460395813,135.9177117307981,0.00016682309408982594,0.0003,0.0094970703125,450,,
577536,47,756,763,0.2,-0.040209198940525916,0.008499456,46.16437911987305,0.9956781268119812,105.68141211569309,-0.00029597680501562235,0.0003,0.014851888020833334,460,,
589824,48,758,777,0.2,-0.06382636884227395,0.0012939203,50.79533004760742,0.9878535866737366,171.8541192094485,-1.0323059783938031e-05,0.0003,0.015673828125,470,,
600000,,,,0.2,-0.04226255866936602,0.0032266963,73.88915252685547,0.9919511675834656,256.8033122678598,0.0005018512196935869,0.0003,0.015201822916666666,480,8760.0,73888.44426224232
602112,49,751,801,,,,,,,,,,,,
614400,50,753,815,0.2,-0.04155515030239864,0.0035792224,82.74494934082031,0.9958235621452332,190.9495782752832,-0.00025619179505156355,0.0003,0.015625,490,,
626688,51,755,829,0.2,-0.04029380845604465,0.0019582985,46.13083267211914,0.9969585537910461,146.87530958255132,-0.0008446573449570375,0.0003,0.013875325520833334,500,,
